"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[4,53]",1.79291097950149,0.00187242890296304,0.345076688945689,1.11539164812655,1.5588930344376,1.79291972862494,2.02581358304867,2.47326152523203,33964.1360549954,1.00000129349561,"landlord-hope"
"B_s[4,54]",1.26052486019738,0.00242029129344616,0.352956962210947,0.576001888846463,1.02074269936777,1.2592105039902,1.49584679595141,1.96660912848562,21267.0978300898,0.999984905550912,"lawyer-disprove"
"B_s[4,55]",-1.30074551318787,0.00200433377571201,0.347538269114529,-1.9801904951211,-1.53520962350773,-1.30140242719403,-1.0679350866278,-0.616499170059828,30065.2747985033,0.999915401151876,"liquor store owner-tell"
"B_s[4,56]",0.30686503085849,0.00196186219905232,0.337005140527827,-0.354488009721757,0.0807735651663976,0.306324246722338,0.534643273064671,0.964372163747776,29507.7470754322,1.00008793628979,"literary agent-mislead"
"B_s[4,57]",-0.769784868494174,0.00177778096158785,0.317554108177501,-1.39170430018948,-0.981371123204496,-0.77321035737545,-0.556950352187104,-0.139798718059805,31906.4854882039,0.999985785893601,"little girl-fear"
"B_s[4,58]",1.26809243510518,0.00195415426086043,0.338800697560128,0.6078022515403,1.04013469075676,1.26896213515315,1.49383252799534,1.92897265608254,30058.7491295876,0.999987980010896,"mechanic-notify"
"B_s[4,59]",-0.866511392226504,0.00197320245017475,0.336830246002792,-1.5285003398965,-1.09195495495513,-0.866469280680325,-0.641732959805222,-0.196671946722161,29139.2837711789,0.999919185901799,"model-complain"
"B_s[4,60]",-0.836137537215889,0.00206912636064457,0.351983751126329,-1.52834910476977,-1.07262835531874,-0.83845020901875,-0.600678859267892,-0.141675917563311,28938.1793072915,0.999916533299355,"moderator-congratulate"
"B_s[4,61]",-0.460969390527181,0.00199683832124983,0.339223735923513,-1.12788708432738,-0.687129636557864,-0.463122883623762,-0.232151661686077,0.210924514549742,28859.3576502344,1.00001341781623,"mother-lie"
"B_s[4,62]",-0.149353830758914,0.00204749038322661,0.341332491088873,-0.813275954539705,-0.378599204066563,-0.14966044592758,0.0809650272942182,0.520840296287151,27791.4700270404,0.999887803229228,"mother-remember"
"B_s[4,63]",0.995040212864185,0.00197015045821143,0.336331612276592,0.332026953355681,0.76450972129276,0.997931565427139,1.2258564107464,1.64488979249001,29143.1566228421,0.999914373179783,"musician-hope"
"B_s[4,64]",1.00238368037153,0.00180140831758191,0.327503575821651,0.359746707357349,0.779558233082287,1.00235473350638,1.22281151959943,1.64699562475604,33052.7626506527,1.00001370954576,"nanny-dissuade"
"B_s[4,65]",-0.806138355122859,0.00201354420197005,0.331198227381607,-1.45659072646895,-1.02924358873959,-0.805479568925604,-0.584844069893195,-0.153959464215857,27055.3820992553,1.00002744444555,"news anchor-notify"
"B_s[4,66]",1.07086577149972,0.00194594520473828,0.338484629008921,0.404365144173756,0.844237304052924,1.07295522904214,1.30121044329408,1.72879829002539,30256.3607303459,0.999905880320973,"nurse-know"
